Tipo_Movimiento,Zona,Departamento,Fecha,Monto_Miles_USD
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-Oct,0.0
Exportaciones (FOB),Zona Central,Chalatenango,2025-Nov,24.08
Exportaciones (FOB),Zona Central,Cuscatlán,2025-Nov,0.9
Exportaciones (FOB),Zona Central,La Libertad,2025-Nov,30534.95
Exportaciones (FOB),Zona Central,San Salvador,2025-Nov,459173.72
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-Nov,45.34
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-Nov,6869.59
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Nov,1430.55
Exportaciones (FOB),Zona Oriental,La Unión,2025-Nov,70.54
Exportaciones (FOB),Zona Oriental,Morazán,2025-Nov,49.0
Exportaciones (FOB),Zona Oriental,San Miguel,2025-Nov,759.96
Exportaciones (FOB),Zona Oriental,Usulután,2025-Nov,20.88
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-Nov,1.06
Exportaciones (FOB),Zona Paracentral,La Paz,2025-Nov,4445.75
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-Nov,2.71
Exportaciones (FOB),Zona Central,Chalatenango,2025-Dic,45.01
Exportaciones (FOB),Zona Central,Cuscatlán,2025-Dic,0.0
Exportaciones (FOB),Zona Central,La Libertad,2025-Dic,27929.94
Exportaciones (FOB),Zona Central,San Salvador,2025-Dic,415519.55
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-Dic,47.13
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-Dic,6400.42
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Dic,1644.62
Exportaciones (FOB),Zona Oriental,La Unión,2025-Dic,12.16
Exportaciones (FOB),Zona Oriental,Morazán,2025-Dic,18.43
Exportaciones (FOB),Zona Oriental,San Miguel,2025-Dic,1662.69
Exportaciones (FOB),Zona Oriental,Usulután,2025-Dic,33.82
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-Dic,0.0
Exportaciones (FOB),Zona Paracentral,La Paz,2025-Dic,4828.39
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-Dic,0.0
Exportaciones (FOB),Zona Central,Chalatenango,2026-Ene,18.2
Exportaciones (FOB),Zona Central,Cuscatlán,2026-Ene,179.0
Exportaciones (FOB),Zona Central,La Libertad,2026-Ene,32875.58
Exportaciones (FOB),Zona Central,San Salvador,2026-Ene,500371.42
Exportaciones (FOB),Zona Occidental,Ahuachapán,2026-Ene,61.8
Exportaciones (FOB),Zona Occidental,Santa Ana,2026-Ene,6692.39
Exportaciones (FOB),Zona Occidental,Sonsonate,2026-Ene,1984.55
Exportaciones (FOB),Zona Oriental,La Unión,2026-Ene,26.66
Exportaciones (FOB),Zona Oriental,Morazán,2026-Ene,42.72
Exportaciones (FOB),Zona Oriental,San Miguel,2026-Ene,2904.0
Exportaciones (FOB),Zona Oriental,Usulután,2026-Ene,17.72
Exportaciones (FOB),Zona Paracentral,Cabañas,2026-Ene,21.45
Exportaciones (FOB),Zona Paracentral,La Paz,2026-Ene,6148.93
Exportaciones (FOB),Zona Paracentral,San Vicente,2026-Ene,102.18
Exportaciones (FOB),Zona Central,Chalatenango,2026-Feb,18.15
Exportaciones (FOB),Zona Central,Cuscatlán,2026-Feb,0.78
Exportaciones (FOB),Zona Central,La Libertad,2026-Feb,30586.39
Exportaciones (FOB),Zona Central,San Salvador,2026-Feb,461709.39
Exportaciones (FOB),Zona Occidental,Ahuachapán,2026-Feb,45.95
Exportaciones (FOB),Zona Occidental,Santa Ana,2026-Feb,8654.43
Exportaciones (FOB),Zona Occidental,Sonsonate,2026-Feb,1954.65
Exportaciones (FOB),Zona Oriental,La Unión,2026-Feb,13.49
Exportaciones (FOB),Zona Oriental,Morazán,2026-Feb,260.17
Exportaciones (FOB),Zona Oriental,San Miguel,2026-Feb,1677.31
Exportaciones (FOB),Zona Oriental,Usulután,2026-Feb,32.26
Exportaciones (FOB),Zona Paracentral,Cabañas,2026-Feb,1.15
Exportaciones (FOB),Zona Paracentral,La Paz,2026-Feb,5575.05
Exportaciones (FOB),Zona Paracentral,San Vicente,2026-Feb,120.66
Exportaciones (FOB),Zona Central,Chalatenango,2026-Mar,33.53
Exportaciones (FOB),Zona Central,Cuscatlán,2026-Mar,0.0
Exportaciones (FOB),Zona Central,La Libertad,2026-Mar,32740.06
Exportaciones (FOB),Zona Central,San Salvador,2026-Mar,517478.71
Exportaciones (FOB),Zona Occidental,Ahuachapán,2026-Mar,40.56
Exportaciones (FOB),Zona Occidental,Santa Ana,2026-Mar,8594.4
Exportaciones (FOB),Zona Occidental,Sonsonate,2026-Mar,2203.88
Exportaciones (FOB),Zona Oriental,La Unión,2026-Mar,15.96
Exportaciones (FOB),Zona Oriental,Morazán,2026-Mar,33.87
Exportaciones (FOB),Zona Oriental,San Miguel,2026-Mar,2999.47
Exportaciones (FOB),Zona Oriental,Usulután,2026-Mar,28.65
Exportaciones (FOB),Zona Paracentral,Cabañas,2026-Mar,0.0
Exportaciones (FOB),Zona Paracentral,La Paz,2026-Mar,6083.58
Exportaciones (FOB),Zona Paracentral,San Vicente,2026-Mar,140.45
